ID,Emotion,Situation,Answer 1,Answer 2,Answer 3,Answer 4
0112f237-f1e1-4d1a-a3e6-1d7e9de5ad17,嘆き,入院しなければダメと言われた時、残された家族に迷惑をかけてしまうことに自責の念に駆られる　,入院しなければなりません。残された家族に迷惑をかけてしまうのが申し訳ありません。,自責の念に駆られますね。しかし、ここでしっかり治療しなければさらに家族に迷惑をかけることになります。,そうですよね。早く治すのが一番ですよね。,私たちも出来る限りのサポートをします。一緒に頑張りましょう。
011f05b9-8e1b-4bd1-8ede-bfe0eb235824,感謝,耳が聞こえにくくなってから，今まで人の話し声や音楽が不自由なく聞けていたことを思い返した　,これまで当たり前のようにしていたことができなくなると、あらためて人の体のつくりのすばらしさを実感します。,そうですね。普段の何気ない会話や活動の中にも感謝できる事ってたくさんありますよね。,できなくなったことを悔やむのではなく、まだできる事に感謝してポジティブに生きていきたいです。,素晴らしい考え方ですね。私も見習いたいです。
012624b2-932e-4e7e-82d1-248fdc051743,恐れ,自分の自覚のないところで病気が進行していた　,本当に治るのか、また、悪くならないな不安でふ,誰もが不安に思うものです。あなた1人だけではないです。,不安ばかりで苦しい気持ちが少し楽になりました。,これから先の楽しみなことを考えて気持ちも前向きになれるように頑張ってください。
012ab8b6-039f-4e44-9fb1-98db41521db2,愛,入院したら家族が毎日見舞いと世話に来てくれた　,毎日家族が見舞いにきてくれるからほんと助かるわ,娘さん2人もすごく協力的ですよね,勉強や部活動で忙しいだろうに,あなたが愛情を持って育ててきたお返しですよ
01712c40-775a-40fe-9211-2e28c44c7c78,気づき,どれだけ健康がありがたいことか思い知らされた,病気をして初めて健康について考えました。,そうですね、病気をしないと健康について考える機会がないですよね。,はい、何気ない日常がガラッと変わってしまうので、やはりこれからも健康に気をつけたいです。,あなたがまた健康的で平穏な日常が取り戻せるよう、お祈りしております。
017331a8-621f-40f7-9a16-e90dfb8f95e2,感謝,入院に際して看護師さんがいろいろ気を使ってくれた,看護師さんがすごく優しい人だったよ。,良かったね。事務的な人もいるもんね。,不安が減ったよ。,有難いね。
017a906a-32e1-4aa1-a309-36a9625b3b4e,誇り,もう助からないのであるなら、せめて尊厳を持って治療を受けるか受けないか選びたいと思った,もう助からないなら、せめて尊厳を持って治療を受けるか受けないか選びたい。,辛い中すごく考えたんだね。今はどう思っているか聞いてもいいかな？,まだ迷っている。,じゃあ、一緒に考えていこう。他に治療法はないか、治療を受けなかった場合のリスクとか、先生と一緒に話をしよう。
017ca904-9d2c-45f2-b726-c5dfe02a1f17,思いやり,先生から「これから治療していきましょう」と優しく言われた　,先生を信じて頑張ります。,私も出来る事があれば何でもするよ。,気持ちを前向きにこれからも生きてゆきます。,しんどくなったら何時でも相談してね。
019d717d-b057-4920-a3df-264b8fc3d960,興奮,久しぶりに体調が良かったので、散歩をしてみたら全てが新鮮だった,久しぶりに身体が軽くて散歩しているんだけど、全てが新鮮に見えるよ。,身体の調子に合わせて心の方も軽くなっているからだと思います。,なるほどね。確かに心の方も晴れやかだ。,この調子を保って、いずれは完治させたいですね。
01a85acc-ec46-4f62-847d-79ec0fc4a41e,好奇心,自分がこの後どんな治療を受けるのだろうか興味がわいてきた,心配もあるけれど、今後の治療に期待したい。,前向きな気持ちで良いと思います。,良い方向に考え、新たな治療を楽しみに待ちます。,同じ気持ちで私も一緒に応援させてください。
01b08723-4389-4584-9dd9-0fe050f4837e,気づき,私のことを心配してくれる友人がたくさんいることを知った,今になって友達の大切さに気付いたよ,あなたの人望のおかげよ,これからも良い関係を続けていきたいな,そうね。応援します
01b1c36c-f9f8-4e3d-86fb-a68383b6de0a,喜び,繰り返しの検査の結果で数値が良くなっていて、通院する回数や飲み薬の量が減った　,ようやく改善の兆しが見えてきた,頑張りましたね,少し自由な時間ができるかな,これからどんどん増えてきますよ
01b46a0b-fba2-4826-85b3-fdc8a9191323,思いやり,自分が車椅子生活をしてみて初めて車椅子の方にとって数センチの段差でも大変だと知り、街で見かけたら声をかけるようにしていた,車椅子生活をして、数センチの段差がいかに大変か知りました。,自分が体験して初めてわかることもありますよね。,街で車椅子の方を見かけると声をかけるようになりました。,思いやりの気持ちが素晴らしいですね。
01b497d1-d1f1-47d0-a919-a677e52239a9,承認,医師が「ここはこういう症状なので、こういう風な治療方針で行きたいし、これくらいの期間で完治しますよ」と言ってくれた,どうやら治るみたいだね。,良かったですね。,しっかりと治療して完治させないといけないね。,頑張って下さい。
01b807c8-69f1-4b3e-8309-848363efa8db,恥ずかしさ,手術の後が目立つし、人に聞かれて説明するのもイヤなのでもう半袖の服は着られないなあと思った,手術跡見られたくないからこれから長袖着るしかないね,その方がいいかも,いちいち説明するのも嫌なんだ,煩わしいからね
01c3c7d9-c22d-4d84-877f-2dbde89b3cdc,感謝,病気を見つけてもらった　,初期の段階に見つけてもらったので大事にならずに済みそうです。,そうでしたか。それは何よりでした。,はい、先生にはとても感謝しています。,一日でも早く以前の健康を取り戻すことができるようお祈りいたします。
01ca308e-988c-40b2-ac63-0aa00345ceeb,混乱,大した症状はなかったので、風邪かなと思って受診したら、精密検査を受けた方が良いと言われた　,大した症状はなかったので、風邪かなと思って受診したら、精密検査を受けた方が良いと言われて混乱しています。,それは混乱しますよね。でも、受診して良かったですね。,ほんと。自分では分からないものですね。,これからはもっとお互いに体調に関する情報交換をしていきましょう。
01d185ea-d579-4fc7-b842-9b7e2b7b88af,怒り,自覚症状はあったが、もっとはやく医師の治療を受けたり定期検査に行っていればもっと早く見つかっただろうと思う　,本当に自分への怒りがおさまりません。どうしてこうなったんでしょう。,一体どうしたんですか？お聞かせください。,体に不調があったのに怠けて診療を受けなかった結果、取り返しのつかない病状にまで進行してしまいました。自分のダメさにイライラします。,済んだことを悔やんでも仕方ありません。ここは治療のことだけを考えるようにしましょう、
01d5571a-557d-4841-bda2-e8df50d32621,誇り,入院してつくづく日本の医療技術が高いことを実感した,入院してつくづく日本の医療技術が高いことを実感しましたね。,あなたがこうして回復している様子を見ても、医療技術の進歩には感心させられます。,本当に日本人でよかったと思いました。,私はあなたの回復する力も相当すごいと思いますよ。
01e7df65-2b00-4994-ad68-503360dc5f86,混乱,病名を告げられた時にこれから何をすればいいか自分自身でわからなかった　,頭から病名の事が離れません。これからどうしたらいいか。,今の状況でこれからの事を考えるのは難しいと思います。今は落ち着く事が大事です。これからの事は落ち着いたら一緒に考えていきましょう。,ありがとうございます。いつも支えてくれて本当に心強いです。,私はいつでもあなたの味方です。あなたは1人ではなく、私も一緒に戦っていると思っています。
01fcaa04-512b-491e-994b-57c6df84d148,愛,家族から献身的に看病を受け、この人のためにも早く完治しようと思った　,家族から献身的に看病を受け、この人のためにも早く完治しようと思いました。,素晴らしいご家族ですね。私も応援していますよ。,ありがとうございます。病気になって家族や周りの人への感謝の気持ちが大きくなりました。,とても気持ちがわかります。完治まで一緒に頑張りましょうね。
021becd4-6692-4d7b-bc34-23802bd59be9,緊張,一通りの検査が終わり、先生にその結果を説明を受けるのを待っている　,結果まだかな、何だか聞くのが怖いです。,そうですね、待ち時間が長いとドキドキしますね。,悪い結果じゃないといいんだけど。,そうですね、良い結果を信じて待ちましょう。
02475300-b08f-44da-9eb6-39e83994103b,楽観,診察してもらって、結果はあまりよくなかったけど、なるようにしかならないかと思う　,診察してもらったら結果はあまり良くなかったけど、なるようにしかならないと楽観するしかない。,強いメンタルをお持ちなんですね。,いえ、そういうわけじゃありません。ただそう思わないとやってられないんです。,陰ながら応援しています。頑張ってください。
024a0301-cac4-432f-9550-eedbbe39b43b,娯楽,病院の待合室に普段読まないような本や漫画が置いてあった,病院の待合室っていろんな本や漫画があって、けっこう退屈しないんです。,それはいいですね。待ち時間って長かったりしますからね。,そうそう。普段は読まないようなジャンルのものもあって、いいんですよね。,何かおすすめ見つけたら教えてください。
025b5677-d26e-42df-b534-12dba798cabb,恐れ,だんだん症状も酷くなってきて、今後どのような治療になるのかわからないし、医療費がどれくらいかかるのかわからない　,治療を続けてもどんどん悪くなる一方で、これから先どうなるのかもう分かりません。,そんなに落ち込まないでください。病気はきっと良くなります。,しかし良くならずに、医療費もどんどんかかって、お先真っ暗です、!,今はお金のことは忘れましょう。とにかく強い気持ちで恐れずに病気と向き合って行きましょう。
026a71cc-eefa-46cf-8225-1ce49b3fd944,喜び,病気が治ってもう通院しないで済むことになった　,病状が良くなってるからもう来なくていいよ、と先生から言われました。,それは良かったですね。ここまで治療をよく頑張りましたね。,ありがとうございます。病気が治ってすごくうれしいです。,体に気をつけて、元気にがんばってくださいね。これからも応援していますよ。
0286f9e4-1b9c-47af-b891-60d72589662e,愛,友人が、毎日元気になる事を祈り続けてくれていたと知った　,私の友人は、私が元気になる事を毎日祈り続けてくれていたんです。,それは優しいご友人ですね。私も元気になる事を祈っています。,祈ってくれてありがとうございます。,もちろんです。いつでも応援していますよ。
028bfa9c-9963-4f32-8ee3-318e12fda2b5,失望,せっかく病院に来たのに、また来月も来なければならないと分かった　,今回の治療で完治したわけではないのですか。,もう一度検査をしないと悪化する恐れがありますので来月一度見せてください。,わかりました。来月の検査で終了しますか。,それは病気の進行次第です。進行次第では続く可能性もあります。
029bf698-7756-40c5-a701-785e75a97d39,感謝,治療中に家族が支えてくれた　,辛い時に家族がいてくれて助かりました。,それは良かったですね。ご家族の支えあっての療養ですね。,その通りです。治療中に何度も励ましの言葉をくれました。,ご家族には感謝ですね。
02a00082-5fb1-4c79-93f7-941122affc22,迷惑,必要なことだとわかっているが、入院中に検温、血圧測定を何回もされた,私はげんなりしています。何度も何度も検温、血圧測定をしなければならなくて、疲れてしまいました。,それは大変でしたね。お疲れでしょう。ゆっくり休んでください。,はい。必要な事だと理解はしていますが、ちっとものんびり出来ないし、もう腕も痛いんです。,のんびり出来ないのは辛いですね。あなたの身体が1番です。ゆっくりなさって下さい。
02b701aa-805b-408b-9a76-612d42a9059a,好奇心,入院しても近くの患者さんと話をして楽しむことができた,入院生活も他の患者さんと話せて楽しめたよ。,それは良かったですね。,本当にそうなんだよ。,入院生活が充実していて良かったです。
02c5ddc6-6b90-46e2-af1b-3d79cf80b72b,称賛,院内で迷っていると、通りかかった医師が丁寧に病院を案内してくれた　,迷っていた時にお医者さんが案内してくれました。,それはありがたいですね。,丁寧に対応してくれてとても良い人でした。,親切にしてくれてよかったですね
02e040f8-3ae2-49a0-a0a7-7630acc63b11,安心,入院中に家族が見舞いに来てくれた,入院中に家族が見舞いに来てくれたので、安心しました。,それは良かったですね。大変心強いご家族ですね。,本当に助かりました。家族の大切さに気づかされました。,良かったですね。早く回復されることを願っております。
02eac526-c1f8-4ae9-9163-c5eb0019a62d,恥ずかしさ,手術の後が目立つし、人に聞かれて説明するのもイヤなのでもう半袖の服は着られないなあと思った,手術の跡が大きいので、半袖の服を着るのは、無理です。,そんな事はありません。聞く人はいないと思います。そして、手術の跡は徐々に消えていきます。,そうであれば、半袖を着れます。ありがとうございます。,お礼には及びません。これからも、手術前と同様の、あなたのままでいてください。
02f54823-35ce-4174-afbe-cf0a3339b97f,嘆き,来週には退院できる予定だったが、検査の数値が良くなかったので退院の予定がまた伸びてしまった　,退院できるのを心待ちにしていたのにものすごく残念です。本当に退院できる日が来るのでしょうか。,とても残念でしたね。でも、体を良くしないと安心して過ごすことができないので、もう少しの辛抱だと思って前向きな気持ちで過ごしてください。,それは分かりますが、つらいです。家に帰って何をしようかなと楽しみにしていたのでショックが大きいです。,つらい気持ちは分かります。退院できる日は少し延期になりましたけれど、次は必ず退院できるように過ごしたいですね。私もお役に立てるように引き続き頑張っていきます。
02fa6b86-d4dc-4335-8eec-78e1164928f9,安心,病気が完治したと医師から告げられた,よかったです。安心しました。,よく今まで頑張りましたね。,私一人だけの力では無理でしたが、皆さんのおかけですよ。,ありがとうございます。何よりあなたが強いから頑張れたんですよ。
031c6043-ff7e-4def-a02b-ce95ef0be35f,誇り,入院してつくづく日本の医療技術が高いことを実感した,私が治ったのも技術のおかげですね。,良かったですね。,はい、よかったです。,医療も進歩してますね。
03301a41-3af4-46cf-91ba-1be86d910e99,気づき,どれだけ健康がありがたいことか思い知らされた,今回入院生活を余儀なくされて、初めて健康の有難みに気づけたよ。,そうですね。何をするにも健康は大切ですもんね。,はい。美味しいものを美味しく食べられるのも、健康あってこそですよね。,私もそう思います。治ったら一緒にお食事したいですね。
03339553-812c-47ca-9776-1d55594d496b,嫌悪,病気で仕事ができないことに職場で嫌味を言われた,「しばらく休めていいね。」と同僚にいやみを言われたよ。,それは、あなたがが直って帰ってくると思っているからですよ。,ほんとにそうなったらうれしいです。,きっと大丈夫ですよ。その時は、同僚に「ゆっくり休めたよ。」と応じればいいでしょう。
03347ab5-3884-402f-8e4a-6092adf2c239,思いやり,自分が車椅子生活をしてみて初めて車椅子の方にとって数センチの段差でも大変だと知り、街で見かけたら声をかけるようにしていた,車椅子生活って、思ったよりも大変だよ。自分が車椅子に乗ってみて始めてわかったよ。,そうなんだ。なってみないと分からないトコロはあるよね。,だから、最近車椅子など体が不自由な人を見かけると気になるようになったよ。困っていたら、助けてあげたい。,そうだね。私も気にして見てみるよ。こうやって優しい気持ちが広がっていくといいね。
03390aa4-3604-4691-b221-7613d570c76b,驚き,忙しくて精密検査をしなかった結果、病気がある程度進行していた　,検査結果が今日出たんだけど、びっくりした。もっと早く病院に行っていれば。,まぁでも、今の症状がわかっただけでもよかったんじゃない？まだ仕事優先してそうだったから、これでもよかった方かも。,そうだな。まだ仕事続けてたら、もっと悪化していたかも。,そうだよ。今の状態を落ち着いて受け止めて、これから、が大事なんだよ。
033e8981-faf7-48ac-a8fb-40eccd3dda44,興奮,入院中に、好きな人がお見舞いに来てくれた。,入院中に好きな人がお見舞いに来てくれたんです！,それは嬉しいですね！よかったですね。,はい、会いに来てくれて本当に嬉しかったし、ドキドキしました。,これできっと病気も早く回復しますね！
03493b18-6a7a-4147-8ab2-899e82bf9690,安心,診察時や回診時に、医師や看護師さん達がにこやかな顔と声で接してくれた,診察時や回診時に、医師や看護師さん達がにこやかな顔と声で接してくれました。,それは良かったですね。安心でしたでしょう。,ええ、どこか気持ちが楽になりました。,困ったことがあればいつでも相談して下さいね。
03674bed-a3b8-4ee6-81ea-1e1caa2ec802,驚き,診察の際に思ってもいない病名を告げられた　,今とても動転しています。何3,どうしたんですか？一体何があったんですか？,思ってもいなかった病名を告げられたんです。ショックだとかの前に、とにかく驚いています。,それは驚きますよね。今はとにかく落ち着いて、それから色々なことを考えましょう。
036e3dee-1773-4b00-929d-bf89cdccb648,嫌悪,入院中にお見舞いに来てくれた友人が、悪ふざけで不安になるような事を言ってきた,少し前友人が見舞いに来てくれたのだけど、何か不安になることを言われて。,そう、それは大変でしたね、問題があれば相談に乗りますよ。,ありがとう、ちょっと不安な気持ちがあったけど楽になりました。,お役に立てたならよかったです、これからも困ったら相談してくださいね。
03705cfd-fae0-499e-8f8c-0904f8f311be,恥ずかしさ,怖かったので診療を後回しにした結果、症状が悪化してしまった　,医者の前で裸になるのが恥ずかしかったです。,でも診察を受けないと症状が悪化してしまいますよね。,そうなんです、案の定症状が悪化してしまいました。,恥ずかしいのは最初だけですからしっかりと診察を受けましょう。
0375b96b-deb9-42a9-8896-319dec7a423e,平静,じっくり考えた結果、特に悩むことはないとわかった　,いつまで考えても何も変わらないから診断結果を待つのみです。,そうですね。悩み続けるよりまずは冷静になることが大事です。,はい。ネガティブになることは絶対に避けたいです。,病は気からと言う言葉もありますし、ポジティブシンキングは理想的です。
0387f773-3796-4906-954e-9018950845f9,平静,精神状態が回復にも影響を大きく与えることを考えて、泰然自若，平静を保つことを大切にしている　,私の病気はほんとうにこのまま治療を続けて良くなるのでしょうか。,先ほどの医師の説明を聞く限り、もちろん多少リスクもありますが、良くなりますよ。,それでもリスクが気になります。,小さなリスクも一応しっかり説明しないといけないだけで、気にするほどではないと思いますよ。
0391b904-b89d-4848-8427-697dad5e0d13,思いやり,様々な人から、思いやりのある言葉や対応をしてもらった　,色々な人にアドバイスや励ましありがとうございます。,そうですね、家族の皆様は勿論、他の支援者達の皆様の為にも頑張りましょう！,ハイそうですね、４０%の成功率でも大丈夫っていう気になりました。,そうですね、頑張りましょう！
03943fe8-c90e-42c1-b639-e8feae246ade,驚き,忙しくて精密検査をしなかった結果、病気がある程度進行していた　,つい精密検査に行くのが面倒で行かなかったけど、結局病気が進行していたんです。,それはお辛いですね。大丈夫ですか。,とりあえず治療は開始したのでなんとかなると思いたいです,治療が良い方向に向かってくれるといいですね。
03b72123-cf50-45a1-94be-8fc61ea3f534,好奇心,足になんかコブが出来てるけど、これは何？と思い受診したところ、珍しい腫瘍だった,なんだか足に変なこぶが出来ちゃって。医者に見せたら珍しい症状だって。,なんと！驚きですね！,もしかしたら研究サンプルとして協力の要請があるかも。,医学の発展に役立てるかもしれませんね！
03b790ec-2cf5-41da-8dbb-8afa192b80a4,承認,つらい治療でも治すために必要だと認めた,これから治療大変だわ,そうだろうな,まぁ頑張るわ,頑張ってな
03d97d34-34cc-460f-8ee9-c3a60a4386d1,失望,せっかく病院に来たのに、また来月も来なければならないと分かった　,せっかく今日来たのにまた来月も通院しないといけないんです。,お忙しいのに、大変ですね。,一回の受診で済むと思ってました。,完治するまでは通うしかないですね。
03e3c6ff-4fba-4f46-8773-d8537c91d903,承認,今までの症状をすべて書き出し、一つ一つ確認したところ、自分が治療を受けるべきであることを認める気持ちがわいてきた　,今までの症状をすべて書き出し、一つ一つ確認したところ、自分が治療を受けるべきであることを認める気持ちがわいてきました。,それは良かったですね。あなたが治療を受けることに前向きになれていることを、私も嬉しく思います。,これまでは、自分の症状を認めたくない気持ちが強かったんです。でも、書き出してみると、やっぱり私には問題があるんだと気づきました。,誰でも、自分の症状を認めるのは難しいことですよね。でも、あなたがそれを乗り越えて、治療を受ける決心をしてくれたことは、本当に素晴らしいことです。
03ee20b0-6ad5-4355-9bd0-9f1f485800e2,興奮,これまでいっしょに治療生活をしていた友人の病気が治ったと聞いた,これまで一緒に治療生活をしてた友達の病気が治ったんだって,それは喜ばしいことだね。あなたの病気もきっと治るよ。,うん、治療のモチベーションが上がったよ。,治療に前向きなのはとても良いことだね。これからもサポートが必要なら何でも言ってね。
03f92f31-2502-40ec-b174-466d7a2e1b3e,恥ずかしさ,深刻な病気だと思い、泣きながら先生に告知をお願いしたら胃腸が荒れているだけと言われた　,自分の体調が物凄く心配になり、涙ながら病院の先生に告知をお願いしたら、ただの胃腸があれているだけだと笑われました。,それは、恥ずかしい思いをしましたね。でも、大した事が無かって良かったです。,恥ずかしい思いをしましたが、何も無くて良かったです。,あまり、悩まず前向きで頑張って下さい。
042c0a00-482a-4a3e-814e-e9747a5dece7,怒り,長い間待合室で待ったのに、診察の結果、病気がわからずに帰ることになった　,こんなに長く待っていたのに、なぜ何の病気か分からないのですか？,本当ですね。でも、慎重に診察をしてくれる病院なのでしょうね。,それはそうかもしれませんね。適当に診察するよりは良いかもしれません。,そうですね。病気が分かるまで一緒に待ちましょう。
04359e41-da63-4f97-ab8e-0841cc10ddbc,気づき,別のお医者さんにセカンドオピニオンしてもらい、改めて自分の病気と向き合うことができた,別のお医者さんにセカンドオピニオンをしてもらいました。また新しい気持ちで自分の病気と向き合えました。,セカンドオピニオンも大事だと思います。,今回はセカンドオピニオンを受けたことが、良い判断だったと思います。,それは良かったですね。また経過を聞かせてください。応援しています。
0439c787-9ec4-4f98-8a85-99a918d39f4b,楽観,これから勧められた検査をしなくてはいけないけど、自覚症状は特に酷くない　,自分的には、多分大丈夫だと思うんだよね。,ええ。検査して安心しましょう。,痛いわけじゃないから大丈夫なんじゃないかな。,みんなを安心させるためにも検査しましょう。
043a0279-da10-4a02-9585-af82f319a602,称賛,急に胸の痛みと熱が出たので重い病気ではないかと慌てたが、かかりつけの医師が的確な処置をしてくれて何事もなく済んだ　,急に胸の痛みと熱が出たので重い病気ではないかと慌てたのですが、かかりつけの医師が的確な処置をしてくれて何事もなく済みました。,何事もなくてよかったですね。,はい。落ち着いて的確な処置をしてくれた医師は素晴らしいです。感謝しています。,腕のいいお医者様なのですね。
0462fa2a-795f-47a3-aa0a-c0e8c3a90376,恥ずかしさ,体を拭いてもらったり、普段は自分で出来るようなことも看護師にお願いすることになった　,普段は自分で出来ることもお願いしてしまってすみません。,入院中は頼っていいんですよ。,退院した後が少し不安です。,少しずつ日常生活に戻る練習をしていきましょうか。
04747bc6-baa3-4093-9ee3-b1de76d3b32e,願望,治療で休みをとることがあるが、気軽に仕事が休める体制があればよいと感じた,治療がいつまで続くか分からないから、仕事との両立が心配です。,職場の理解は大切ですよね。お忙しい職場ですか？,上司は理解のある人ですが、制度化されている方が休みやすいです。,介護休暇みたいな感じのものが治療にあるといいですね。
0476447a-9193-443f-9865-b83968959b21,平静,主治医から緩和ケアへの移行を進められた　,主治医から緩和ケアへの移行を勧められました。,緩和ケアは治療の一環です。緩和ケアがある程度落ち着いたら治療も始められますよ。,戻れるんですか？緩和ケアに行ったらもう最後だと思っていました。,今の時代はそうではないのです。主治医の意見も取り入れつつ生活の質を上げていけるよう、考えていきましょう。
047a4305-b27d-4e5f-8fd3-3da6bf170eda,楽観,今さらじたばたしても仕方がないので主治医の説明を冷静に聞けることが出来た　,今更じたばたしてもしようがないと思ったので、お医者さんの話は落ち着いて聞けたんです。,冷静に話が聞けるというあなたはとても強いと思います。,覚悟を決めたら、意外と前向きになれるものです。,そのような気持ちを持つことって、とても大切だと思いますよ。
04ae03e1-c099-4fec-8319-18d4c968321a,不承認,こんなに体は元気なのに、病気であると告げられたことについては認められなかった,なんで自分が病気なのか、こんなに元気なのに悪いところはない。,そうなんですね。何か不調があればまた教えてくださいね。,わかりました。こんなに元気なので問題ありません。,ありがとうございます。また顔を見に来ますね。
04b505fb-6329-43ff-9944-067077ab69ef,気づき,家族の大切さをあらためて感じた,家族がいなかったらどうなっていただろう。,こういう時家族の優しさが染みますよね。ご家族に愛されていますね。,自分はあまり大事にしてこなかったのを反省しています。,それだけ忙しく頑張ってきたということではないですか。素敵なご家族がいてうらやましい程です。
